AUN,LEA Name,LEA Type,County,Race,Year,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,007,008,009,010,011,012,Total
126510021,Folk Arts-Cultural Treasures CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,*,*,*,*,*,0,0,0,0,0,0,0,0,10
126513450,Franklin Towne CHS,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,19
126513450,Franklin Towne CHS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,31,17,11,98
126513450,Franklin Towne CHS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,54,38,27,170
126513450,Franklin Towne CHS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*
126513450,Franklin Towne CHS,CS,Philadelphia,Native Hawaiian or other Pacific Islander(not hispanic),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,*
126513450,Franklin Towne CHS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,216,208,193,900
147513703,Franklin Towne Charter Elementary School,CS,Philadelphia,American Indian / Alaskan Native,,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,*
147513703,Franklin Towne Charter Elementary School,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,*,0,0,*,*,0,0,*,*,0,0,0,0,10
147513703,Franklin Towne Charter Elementary School,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,*,*,*,*,*,10,*,*,*,0,0,0,0,46
147513703,Franklin Towne Charter Elementary School,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,*,*,*,14,*,*,10,10,*,0,0,0,0,76
147513703,Franklin Towne Charter Elementary School,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,*
147513703,Franklin Towne Charter Elementary School,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,86,96,88,85,89,88,88,88,75,0,0,0,0,783
126513270,Freire CS,CS,Philadelphia,American Indian / Alaskan Native,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,*
126513270,Freire CS,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,*,*,*
126513270,Freire CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,0,0,0,0,107,141,129,75,152,103,97,90,894
126513270,Freire CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,0,0,*,0,11
126513270,Freire CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,0,*,*,*,*,32
126513270,Freire CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*
126513380,Global Leadership Academy CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,83,85,82,75,82,69,86,78,67,0,0,0,0,707
126513380,Global Leadership Academy CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,*,0,0,*,*,*,0,0,0,0,0,0,0,*
126513380,Global Leadership Academy CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,*,*,0,*,*,0,0,*,0,0,0,0,*
126513380,Global Leadership Academy CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,*
126510005,Green Woods CS,CS,Philadelphia,American Indian / Alaskan Native,,0,0,0,0,0,0,0,0,*,*,*,*,0,0,0,0,0,0,0,0,0,*
126510005,Green Woods CS,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,0,0,0,0,0,18
126510005,Green Woods CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,*,11,13,11,15,*,*,*,*,0,0,0,0,70
126510005,Green Woods CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,*,*,*,*,0,*,0,0,*,0,0,0,0,14
126510005,Green Woods CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,62,62,58,61,35,20,22,22,16,0,0,0,0,358
126513290,Hardy Williams Academy CS,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0,*
126513290,Hardy Williams Academy CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,65,77,78,96,95,132,78,111,87,105,109,0,0,1033
126513290,Hardy Williams Academy CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,0,*,0,0,0,*,*,0,0,*,0,0,*
126513290,Hardy Williams Academy CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,*
126513290,Hardy Williams Academy CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,*
126513200,Imani Education Circle CS,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,*,0,0,0,0,*
126513200,Imani Education Circle CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,50,46,48,58,49,50,43,56,46,0,0,0,0,446
126513200,Imani Education Circle CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0,0,*
126513200,Imani Education Circle CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,*
126512980,Imhotep Institute CHS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,203,140,162,624
126513510,Independence CS,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,*,*,*,*,*,0,*,*,*,0,0,0,0,38
126513510,Independence CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,31,41,45,46,41,49,48,42,52,0,0,0,0,395
126513510,Independence CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,*,15,*,14,17,20,19,19,13,0,0,0,0,134
126513510,Independence CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,21,*,*,*,*,*,*,*,*,0,0,0,0,60
