AUN,LEA Name,LEA Type,County,School Number,School Name,Student Gender Code,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,EUG,007,008,009,010,011,012,SUG,Total
126515001,Philadelphia City SD,SD,Philadelphia,7024,Amy NW,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,32,42,0,0,0,0,0,97
126515001,Philadelphia City SD,SD,Philadelphia,3804,Anderson Add B Sch,F,0,0,9,0,0,0,0,0,31,32,23,30,24,23,22,0,21,23,0,0,0,0,0,238
126515001,Philadelphia City SD,SD,Philadelphia,3804,Anderson Add B Sch,M,0,0,11,0,0,0,0,0,28,29,35,39,35,26,31,0,27,35,0,0,0,0,0,296
126515001,Philadelphia City SD,SD,Philadelphia,3805,Arthur Chester A Sch,F,0,0,0,0,0,0,0,0,13,18,9,17,11,11,7,0,8,10,0,0,0,0,0,104
126515001,Philadelphia City SD,SD,Philadelphia,3805,Arthur Chester A Sch,M,0,0,0,0,0,0,0,0,8,12,16,14,10,6,16,0,6,8,0,0,0,0,0,96
126515001,Philadelphia City SD,SD,Philadelphia,8039,Arts Academy at Benjamin Rush,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,93,81,0,0,269
126515001,Philadelphia City SD,SD,Philadelphia,8039,Arts Academy at Benjamin Rush,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,45,36,0,0,117
126515001,Philadelphia City SD,SD,Philadelphia,8040,Audenried SHS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,89,83,0,0,227
126515001,Philadelphia City SD,SD,Philadelphia,8040,Audenried SHS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,99,55,0,0,201
126515001,Philadelphia City SD,SD,Philadelphia,3618,Bache-Martin Sch,F,0,0,30,0,0,0,0,0,21,21,18,23,24,15,22,0,24,24,0,0,0,0,0,222
126515001,Philadelphia City SD,SD,Philadelphia,3618,Bache-Martin Sch,M,0,0,21,0,0,0,0,0,13,22,24,19,19,15,25,0,21,18,0,0,0,0,0,197
126515001,Philadelphia City SD,SD,Philadelphia,6824,Baldi C C A MS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,186,233,0,0,0,0,0,605
126515001,Philadelphia City SD,SD,Philadelphia,6824,Baldi C C A MS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,226,213,0,0,0,0,0,679
126515001,Philadelphia City SD,SD,Philadelphia,7237,Barratt Norris S MS,F,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,52
126515001,Philadelphia City SD,SD,Philadelphia,7237,Barratt Norris S MS,M,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,59
126515001,Philadelphia City SD,SD,Philadelphia,8029,Barry Comm John Sch,F,0,0,22,0,0,0,0,0,53,50,52,39,59,43,41,0,32,27,0,0,0,0,0,418
126515001,Philadelphia City SD,SD,Philadelphia,8029,Barry Comm John Sch,M,0,0,18,0,0,0,0,0,34,45,38,44,40,34,40,0,47,40,0,0,0,0,0,380
126515001,Philadelphia City SD,SD,Philadelphia,3732,Barton Clara Sch,F,0,0,17,0,0,0,0,0,130,107,102,0,0,0,0,0,0,0,0,0,0,0,0,356
126515001,Philadelphia City SD,SD,Philadelphia,3732,Barton Clara Sch,M,0,0,22,0,0,0,0,0,129,127,130,0,0,0,0,0,0,0,0,0,0,0,0,408
126515001,Philadelphia City SD,SD,Philadelphia,3847,Bartram John - Main,F,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,147,134,147,0,539
126515001,Philadelphia City SD,SD,Philadelphia,3847,Bartram John - Main,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,158,144,119,0,582
126515001,Philadelphia City SD,SD,Philadelphia,7238,Beeber Dimner MS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,82,89,0,0,0,0,0,206
126515001,Philadelphia City SD,SD,Philadelphia,7238,Beeber Dimner MS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,124,111,0,0,0,0,0,276
126515001,Philadelphia City SD,SD,Philadelphia,5183,Bethune Mary McLeod Sch,F,0,0,22,0,0,0,0,0,36,35,44,41,33,31,31,0,30,33,0,0,0,0,0,336
126515001,Philadelphia City SD,SD,Philadelphia,5183,Bethune Mary McLeod Sch,M,0,0,15,0,0,0,0,0,49,40,42,30,31,41,42,0,32,29,0,0,0,0,0,351
126515001,Philadelphia City SD,SD,Philadelphia,3733,Birney Gen Davis B Sch,F,0,0,8,0,0,0,0,0,29,33,41,37,32,34,24,0,31,25,0,0,0,0,0,294
126515001,Philadelphia City SD,SD,Philadelphia,3733,Birney Gen Davis B Sch,M,0,0,5,0,0,0,0,0,41,43,29,40,20,42,37,0,29,20,0,0,0,0,0,306
126515001,Philadelphia City SD,SD,Philadelphia,3662,Blaine James G Sch,F,0,0,23,0,0,0,0,0,17,15,14,13,15,10,11,0,11,18,0,0,0,0,0,147
126515001,Philadelphia City SD,SD,Philadelphia,3662,Blaine James G Sch,M,0,0,19,0,0,0,0,0,19,21,11,11,29,14,10,0,15,10,0,0,0,0,0,159
126515001,Philadelphia City SD,SD,Philadelphia,3663,Blankenburg Rudolph Sch,F,0,0,22,0,0,0,0,0,19,24,23,23,19,21,16,0,13,11,0,0,0,0,0,191
126515001,Philadelphia City SD,SD,Philadelphia,3663,Blankenburg Rudolph Sch,M,0,0,17,0,0,0,0,0,26,23,20,19,24,13,24,0,26,18,0,0,0,0,0,210
126515001,Philadelphia City SD,SD,Philadelphia,7070,Bodine William W HS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,74,91,81,0,338
126515001,Philadelphia City SD,SD,Philadelphia,7070,Bodine William W HS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,47,55,48,0,208
126515001,Philadelphia City SD,SD,Philadelphia,3840,Bok Edw W Technical High School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,88,89,92,0,438
126515001,Philadelphia City SD,SD,Philadelphia,3840,Bok Edw W Technical High School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,128,132,99,0,564
126515001,Philadelphia City SD,SD,Philadelphia,3620,Bregy F Amedee Sch,F,0,0,23,0,0,0,0,0,18,18,15,19,23,16,23,0,19,23,0,0,0,0,0,197
