AUN,LEA Name,LEA Type,County,School Number,School Name,Student Gender Code,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,007,008,009,010,011,012,Total
126515001,Philadelphia City SD,SD,Philadelphia,3718,Logan James Sch,M,0,0,13,0,0,0,0,0,29,21,23,29,28,32,0,0,0,0,0,0,0,175
126515001,Philadelphia City SD,SD,Philadelphia,6533,Longstreth William C Sch,F,0,0,18,0,0,0,0,0,35,38,16,30,24,25,23,26,41,0,0,0,0,276
126515001,Philadelphia City SD,SD,Philadelphia,6533,Longstreth William C Sch,M,0,0,16,0,0,0,0,0,44,42,24,29,20,23,22,27,44,0,0,0,0,291
126515001,Philadelphia City SD,SD,Philadelphia,7232,Lowell James R Sch,F,0,0,14,0,0,0,0,0,87,86,108,72,94,0,0,0,0,0,0,0,0,461
126515001,Philadelphia City SD,SD,Philadelphia,7232,Lowell James R Sch,M,0,0,20,0,0,0,0,0,114,115,101,89,78,0,0,0,0,0,0,0,0,517
126515001,Philadelphia City SD,SD,Philadelphia,3694,Ludlow James R Sch,F,0,0,15,0,0,0,0,0,14,18,24,19,21,16,11,15,11,0,0,0,0,164
126515001,Philadelphia City SD,SD,Philadelphia,3694,Ludlow James R Sch,M,0,0,12,0,0,0,0,0,22,24,17,15,31,19,20,15,16,0,0,0,0,191
126515001,Philadelphia City SD,SD,Philadelphia,3797,Marshall John Sch,F,0,0,0,0,0,0,0,0,34,38,38,33,47,34,0,0,0,0,0,0,0,224
126515001,Philadelphia City SD,SD,Philadelphia,3797,Marshall John Sch,M,0,0,0,0,0,0,0,0,29,31,52,41,34,39,0,0,0,0,0,0,0,226
126515001,Philadelphia City SD,SD,Philadelphia,7521,Marshall Thurgood,F,0,0,16,0,0,0,0,0,41,45,37,31,30,45,40,27,33,0,0,0,0,345
126515001,Philadelphia City SD,SD,Philadelphia,7521,Marshall Thurgood,M,0,0,17,0,0,0,0,0,40,52,41,37,47,33,38,32,34,0,0,0,0,371
126515001,Philadelphia City SD,SD,Philadelphia,3842,Mastbaum Jules E AVTS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,61,85,110,355
126515001,Philadelphia City SD,SD,Philadelphia,3842,Mastbaum Jules E AVTS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,72,110,96,398
126515001,Philadelphia City SD,SD,Philadelphia,3808,Masterman Julia R Sec Sch,F,0,0,0,0,0,0,0,0,0,0,0,0,0,80,95,91,115,65,53,64,62,625
126515001,Philadelphia City SD,SD,Philadelphia,3808,Masterman Julia R Sec Sch,M,0,0,0,0,0,0,0,0,0,0,0,0,0,85,103,106,82,43,56,38,40,553
126515001,Philadelphia City SD,SD,Philadelphia,3769,Mayfair Sch,F,0,0,0,0,0,0,0,0,70,60,64,55,57,59,66,64,53,0,0,0,0,548
126515001,Philadelphia City SD,SD,Philadelphia,3769,Mayfair Sch,M,0,0,0,0,0,0,0,0,79,69,71,60,67,55,52,85,47,0,0,0,0,585
126515001,Philadelphia City SD,SD,Philadelphia,3648,McCall Gen George A Sch,F,0,0,0,0,0,0,0,0,33,54,40,42,34,37,35,34,22,0,0,0,0,331
126515001,Philadelphia City SD,SD,Philadelphia,3648,McCall Gen George A Sch,M,0,0,0,0,0,0,0,0,44,36,48,39,37,37,27,29,30,0,0,0,0,327
126515001,Philadelphia City SD,SD,Philadelphia,3719,McCloskey John F Sch,F,0,0,0,0,0,0,0,0,28,25,29,34,25,28,31,17,0,0,0,0,0,217
126515001,Philadelphia City SD,SD,Philadelphia,3719,McCloskey John F Sch,M,0,0,0,0,0,0,0,0,20,33,34,36,30,21,24,22,0,0,0,0,0,220
126515001,Philadelphia City SD,SD,Philadelphia,6534,McClure Alexander K Sch,F,0,0,24,0,0,0,0,0,48,48,62,45,50,39,0,0,0,0,0,0,0,316
126515001,Philadelphia City SD,SD,Philadelphia,6534,McClure Alexander K Sch,M,0,0,13,0,0,0,0,0,45,43,48,49,38,35,0,0,0,0,0,0,0,271
126515001,Philadelphia City SD,SD,Philadelphia,3629,McDaniel Delaplaine Sch,F,0,0,0,0,0,0,0,0,53,51,58,48,32,42,47,41,36,0,0,0,0,408
126515001,Philadelphia City SD,SD,Philadelphia,3629,McDaniel Delaplaine Sch,M,0,0,0,0,0,0,0,0,50,53,52,40,43,43,43,31,34,0,0,0,0,389
126515001,Philadelphia City SD,SD,Philadelphia,5293,McKinley William Sch,F,0,0,13,0,0,0,0,0,27,31,31,30,24,21,22,22,26,0,0,0,0,247
